Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Brunei,1951-01-01,,,,,
Cape Verde,1951-01-01,,,,,
Cayman Islands,1951-01-01,,,,,
Chile,1951-01-01,,,,,
China,1951-01-01,,,,,
Colombia,1951-01-01,,,,,
Cook Islands,1951-01-01,,,,,
Dominica,1951-01-01,,,,,
Dominican Republic,1951-01-01,,,,,
Ecuador,1951-01-01,,,,,
Falkland Islands,1951-01-01,,,,,
Fiji,1951-01-01,,,,,
French Guiana,1951-01-01,,,,,
French Polynesia,1951-01-01,,,,,
Georgia,1951-01-01,,,,,
Greenland,1951-01-01,,,,,
Grenada,1951-01-01,,,,,
Guadeloupe,1951-01-01,,,,,
Guam,1951-01-01,,,,,
Guyana,1951-01-01,,,,,
Jamaica,1951-01-01,,,,,
Jordan,1951-01-01,,,,,
Kazakhstan,1951-01-01,,,,,
Kosovo,1951-01-01,,,,,
Kuwait,1951-01-01,,,,,
Kyrgyzstan,1951-01-01,,,,,
Lebanon,1951-01-01,,,,,
Malaysia,1951-01-01,,,,,
Mauritius,1951-01-01,,,,,
Mayotte,1951-01-01,,,,,
Mexico,1951-01-01,,,,,
Micronesia (country),1951-01-01,,,,,
Moldova,1951-01-01,,,,,
Montserrat,1951-01-01,,,,,
New Caledonia,1951-01-01,,,,,
Niue,1951-01-01,,,,,
North Korea,1951-01-01,,,,,
North Macedonia,1951-01-01,,,,,
Palestine,1951-01-01,,,,,
Panama,1951-01-01,,,,,
Paraguay,1951-01-01,,,,,
Peru,1951-01-01,,,,,
Philippines,1951-01-01,,,,,
Qatar,1951-01-01,,,,,
Reunion,1951-01-01,,,,,
Russia,1951-01-01,,,,,
Saint Kitts and Nevis,1951-01-01,,,,,
Saint Lucia,1951-01-01,,,,,
Saint Vincent and the Grenadines,1951-01-01,,,,,
Samoa,1951-01-01,,,,,
Saudi Arabia,1951-01-01,,,,,
Seychelles,1951-01-01,,,,,
South Korea,1951-01-01,,,,,
Sri Lanka,1951-01-01,,,,,
Suriname,1951-01-01,,,,,
Syria,1951-01-01,,,,,
Thailand,1951-01-01,,,,,
Tokelau,1951-01-01,,,,,
Tonga,1951-01-01,,,,,
Trinidad and Tobago,1951-01-01,,,,,
Tunisia,1951-01-01,,,,,
Turkey,1951-01-01,,,,,
Turkmenistan,1951-01-01,,,,,
Turks and Caicos Islands,1951-01-01,,,,,
United Arab Emirates,1951-01-01,,,,,
Uzbekistan,1951-01-01,,,,,
Vanuatu,1951-01-01,,,,,
Venezuela,1951-01-01,,,,,
Vietnam,1951-01-01,,,,,
Wallis and Futuna,1951-01-01,,,,,
Albania,1952-01-01,,,,,
Anguilla,1952-01-01,,,,,
Armenia,1952-01-01,,,,,
Azerbaijan,1952-01-01,,,,,
Bahamas,1952-01-01,,,,,
Bahrain,1952-01-01,,,,,
Belize,1952-01-01,,,,,
Bosnia and Herzegovina,1952-01-01,,,,,
Brazil,1952-01-01,,,,,
British Virgin Islands,1952-01-01,,,,,
Brunei,1952-01-01,,,,,
Cape Verde,1952-01-01,,,,,
Cayman Islands,1952-01-01,,,,,
Chile,1952-01-01,,,,,
China,1952-01-01,,,,,
Colombia,1952-01-01,,,,,
Cook Islands,1952-01-01,,,,,
Dominica,1952-01-01,,,,,
Dominican Republic,1952-01-01,,,,,
Ecuador,1952-01-01,,,,,
Falkland Islands,1952-01-01,,,,,
Fiji,1952-01-01,,,,,
French Guiana,1952-01-01,,,,,
French Polynesia,1952-01-01,,,,,
Georgia,1952-01-01,,,,,
Greenland,1952-01-01,,,,,
Grenada,1952-01-01,,,,,
Guadeloupe,1952-01-01,,,,,
Guam,1952-01-01,,,,,
Guyana,1952-01-01,,,,,
Jamaica,1952-01-01,,,,,
Jordan,1952-01-01,,,,,
Kazakhstan,1952-01-01,,,,,
Kosovo,1952-01-01,,,,,
Kuwait,1952-01-01,,,,,
Kyrgyzstan,1952-01-01,,,,,
Lebanon,1952-01-01,,,,,
Malaysia,1952-01-01,,,,,
Mauritius,1952-01-01,,,,,
Mayotte,1952-01-01,,,,,
Mexico,1952-01-01,,,,,
Micronesia (country),1952-01-01,,,,,
Moldova,1952-01-01,,,,,
Montserrat,1952-01-01,,,,,
New Caledonia,1952-01-01,,,,,
Niue,1952-01-01,,,,,
North Korea,1952-01-01,,,,,
North Macedonia,1952-01-01,,,,,
Palestine,1952-01-01,,,,,
Panama,1952-01-01,,,,,
Paraguay,1952-01-01,,,,,
Peru,1952-01-01,,,,,
Philippines,1952-01-01,,,,,
Qatar,1952-01-01,,,,,
Reunion,1952-01-01,,,,,
Russia,1952-01-01,,,,,
Saint Kitts and Nevis,1952-01-01,,,,,
Saint Lucia,1952-01-01,,,,,
Saint Vincent and the Grenadines,1952-01-01,,,,,
Samoa,1952-01-01,,,,,
Saudi Arabia,1952-01-01,,,,,
Seychelles,1952-01-01,,,,,
South Korea,1952-01-01,,,,,
Sri Lanka,1952-01-01,,,,,
Suriname,1952-01-01,,,,,
Syria,1952-01-01,,,,,
Thailand,1952-01-01,,,,,
Tokelau,1952-01-01,,,,,
Tonga,1952-01-01,,,,,
Trinidad and Tobago,1952-01-01,,,,,
Tunisia,1952-01-01,,,,,
Turkey,1952-01-01,,,,,
Turkmenistan,1952-01-01,,,,,
Turks and Caicos Islands,1952-01-01,,,,,
United Arab Emirates,1952-01-01,,,,,
Uzbekistan,1952-01-01,,,,,
Vanuatu,1952-01-01,,,,,
Venezuela,1952-01-01,,,,,
Vietnam,1952-01-01,,,,,
Wallis and Futuna,1952-01-01,,,,,
Albania,1953-01-01,,,,,
Anguilla,1953-01-01,,,,,
Armenia,1953-01-01,,,,,
Azerbaijan,1953-01-01,,,,,
Bahamas,1953-01-01,,,,,
Bahrain,1953-01-01,,,,,
Belize,1953-01-01,,,,,
Bosnia and Herzegovina,1953-01-01,,,,,
Brazil,1953-01-01,,,,,
British Virgin Islands,1953-01-01,,,,,
Brunei,1953-01-01,,,,,
Cape Verde,1953-01-01,,,,,
Cayman Islands,1953-01-01,,,,,
Chile,1953-01-01,,,,,
China,1953-01-01,,,,,
Colombia,1953-01-01,,,,,
Cook Islands,1953-01-01,,,,,
Dominica,1953-01-01,,,,,
Dominican Republic,1953-01-01,,,,,
Ecuador,1953-01-01,,,,,
Falkland Islands,1953-01-01,,,,,
Fiji,1953-01-01,,,,,
French Guiana,1953-01-01,,,,,
French Polynesia,1953-01-01,,,,,
Georgia,1953-01-01,,,,,
Greenland,1953-01-01,,,,,
Grenada,1953-01-01,,,,,
Guadeloupe,1953-01-01,,,,,
Guam,1953-01-01,,,,,
Guyana,1953-01-01,,,,,
Jamaica,1953-01-01,,,,,
Jordan,1953-01-01,,,,,
Kazakhstan,1953-01-01,,,,,
Kosovo,1953-01-01,,,,,
Kuwait,1953-01-01,,,,,
Kyrgyzstan,1953-01-01,,,,,
Lebanon,1953-01-01,,,,,
Malaysia,1953-01-01,,,,,
Mauritius,1953-01-01,,,,,
Mayotte,1953-01-01,,,,,
Mexico,1953-01-01,,,,,
Micronesia (country),1953-01-01,,,,,
Moldova,1953-01-01,,,,,
Montserrat,1953-01-01,,,,,
New Caledonia,1953-01-01,,,,,
Niue,1953-01-01,,,,,
North Korea,1953-01-01,,,,,
North Macedonia,1953-01-01,,,,,
Palestine,1953-01-01,,,,,
Panama,1953-01-01,,,,,
Paraguay,1953-01-01,,,,,
Peru,1953-01-01,,,,,
Philippines,1953-01-01,,,,,
Qatar,1953-01-01,,,,,
Reunion,1953-01-01,,,,,
Russia,1953-01-01,,,,,
Saint Kitts and Nevis,1953-01-01,,,,,
Saint Lucia,1953-01-01,,,,,
Saint Vincent and the Grenadines,1953-01-01,,,,,
Samoa,1953-01-01,,,,,
Saudi Arabia,1953-01-01,,,,,
Seychelles,1953-01-01,,,,,
South Korea,1953-01-01,,,,,
Sri Lanka,1953-01-01,,,,,
Suriname,1953-01-01,,,,,
Syria,1953-01-01,,,,,
Thailand,1953-01-01,,,,,
Tokelau,1953-01-01,,,,,
Tonga,1953-01-01,,,,,
Trinidad and Tobago,1953-01-01,,,,,
Tunisia,1953-01-01,,,,,
Turkey,1953-01-01,,,,,
Turkmenistan,1953-01-01,,,,,
Turks and Caicos Islands,1953-01-01,,,,,
United Arab Emirates,1953-01-01,,,,,
Uzbekistan,1953-01-01,,,,,
Vanuatu,1953-01-01,,,,,
Venezuela,1953-01-01,,,,,
Vietnam,1953-01-01,,,,,
Wallis and Futuna,1953-01-01,,,,,
Albania,1954-01-01,,,,,
Anguilla,1954-01-01,,,,,
Armenia,1954-01-01,,,,,
Azerbaijan,1954-01-01,,,,,
Bahamas,1954-01-01,,,,,
Bahrain,1954-01-01,,,,,
Belize,1954-01-01,,,,,
Bosnia and Herzegovina,1954-01-01,,,,,
Brazil,1954-01-01,,,,,
British Virgin Islands,1954-01-01,,,,,
Brunei,1954-01-01,,,,,
Cape Verde,1954-01-01,,,,,
Cayman Islands,1954-01-01,,,,,
Chile,1954-01-01,,,,,
China,1954-01-01,,,,,
Colombia,1954-01-01,,,,,
Cook Islands,1954-01-01,,,,,
Dominica,1954-01-01,,,,,
Dominican Republic,1954-01-01,,,,,
Ecuador,1954-01-01,,,,,
Falkland Islands,1954-01-01,,,,,
Fiji,1954-01-01,,,,,
French Guiana,1954-01-01,,,,,
French Polynesia,1954-01-01,,,,,
Georgia,1954-01-01,,,,,
Greenland,1954-01-01,,,,,
Grenada,1954-01-01,,,,,
Guadeloupe,1954-01-01,,,,,
Guam,1954-01-01,,,,,
Guyana,1954-01-01,,,,,
Jamaica,1954-01-01,,,,,
Jordan,1954-01-01,,,,,
Kazakhstan,1954-01-01,,,,,
Kosovo,1954-01-01,,,,,
Kuwait,1954-01-01,,,,,
Kyrgyzstan,1954-01-01,,,,,
Lebanon,1954-01-01,,,,,
Malaysia,1954-01-01,,,,,
Mauritius,1954-01-01,,,,,
Mayotte,1954-01-01,,,,,
Mexico,1954-01-01,,,,,
Micronesia (country),1954-01-01,,,,,
Moldova,1954-01-01,,,,,
Montserrat,1954-01-01,,,,,
New Caledonia,1954-01-01,,,,,
Niue,1954-01-01,,,,,
North Korea,1954-01-01,,,,,
North Macedonia,1954-01-01,,,,,
Palestine,1954-01-01,,,,,
Panama,1954-01-01,,,,,
Paraguay,1954-01-01,,,,,
Peru,1954-01-01,,,,,
Philippines,1954-01-01,,,,,
Qatar,1954-01-01,,,,,
Reunion,1954-01-01,,,,,
Russia,1954-01-01,,,,,
Saint Kitts and Nevis,1954-01-01,,,,,
Saint Lucia,1954-01-01,,,,,
Saint Vincent and the Grenadines,1954-01-01,,,,,
Samoa,1954-01-01,,,,,
Saudi Arabia,1954-01-01,,,,,
Seychelles,1954-01-01,,,,,
South Korea,1954-01-01,,,,,
Sri Lanka,1954-01-01,,,,,
Suriname,1954-01-01,,,,,
Syria,1954-01-01,,,,,
Thailand,1954-01-01,,,,,
Tokelau,1954-01-01,,,,,
Tonga,1954-01-01,,,,,
Trinidad and Tobago,1954-01-01,,,,,
Tunisia,1954-01-01,,,,,
Turkey,1954-01-01,,,,,
Turkmenistan,1954-01-01,,,,,
Turks and Caicos Islands,1954-01-01,,,,,
United Arab Emirates,1954-01-01,,,,,
Uzbekistan,1954-01-01,,,,,
Vanuatu,1954-01-01,,,,,
Venezuela,1954-01-01,,,,,
Vietnam,1954-01-01,,,,,
Wallis and Futuna,1954-01-01,,,,,
Albania,1955-01-01,,,,,
Anguilla,1955-01-01,,,,,
Armenia,1955-01-01,,,,,
Azerbaijan,1955-01-01,,,,,
Bahamas,1955-01-01,,,,,
Bahrain,1955-01-01,,,,,
Belize,1955-01-01,,,,,
Bosnia and Herzegovina,1955-01-01,,,,,
Brazil,1955-01-01,,,,,
British Virgin Islands,1955-01-01,,,,,
Brunei,1955-01-01,,,,,
Cape Verde,1955-01-01,,,,,
Cayman Islands,1955-01-01,,,,,
Chile,1955-01-01,,,,,
China,1955-01-01,,,,,
Colombia,1955-01-01,,,,,
Cook Islands,1955-01-01,,,,,
Dominica,1955-01-01,,,,,
Dominican Republic,1955-01-01,,,,,
Ecuador,1955-01-01,,,,,
Falkland Islands,1955-01-01,,,,,
Fiji,1955-01-01,,,,,
French Guiana,1955-01-01,,,,,
French Polynesia,1955-01-01,,,,,
Georgia,1955-01-01,,,,,
Greenland,1955-01-01,,,,,
Grenada,1955-01-01,,,,,
Guadeloupe,1955-01-01,,,,,
Guam,1955-01-01,,,,,
Guyana,1955-01-01,,,,,
Jamaica,1955-01-01,,,,,
Jordan,1955-01-01,,,,,
Kazakhstan,1955-01-01,,,,,
Kosovo,1955-01-01,,,,,
Kuwait,1955-01-01,,,,,
Kyrgyzstan,1955-01-01,,,,,
Lebanon,1955-01-01,,,,,
Malaysia,1955-01-01,,,,,
Mauritius,1955-01-01,,,,,
Mayotte,1955-01-01,,,,,
Mexico,1955-01-01,,,,,
Micronesia (country),1955-01-01,,,,,
Moldova,1955-01-01,,,,,
Montserrat,1955-01-01,,,,,
New Caledonia,1955-01-01,,,,,
Niue,1955-01-01,,,,,
North Korea,1955-01-01,,,,,
North Macedonia,1955-01-01,,,,,
Palestine,1955-01-01,,,,,
Panama,1955-01-01,,,,,
Paraguay,1955-01-01,,,,,
Peru,1955-01-01,,,,,
Philippines,1955-01-01,,,,,
Qatar,1955-01-01,,,,,
Reunion,1955-01-01,,,,,
Russia,1955-01-01,,,,,
Saint Kitts and Nevis,1955-01-01,,,,,
Saint Lucia,1955-01-01,,,,,
Saint Vincent and the Grenadines,1955-01-01,,,,,
Samoa,1955-01-01,,,,,
Saudi Arabia,1955-01-01,,,,,
Seychelles,1955-01-01,,,,,
South Korea,1955-01-01,,,,,
Sri Lanka,1955-01-01,,,,,
Suriname,1955-01-01,,,,,
Syria,1955-01-01,,,,,
Thailand,1955-01-01,,,,,
Tokelau,1955-01-01,,,,,
Tonga,1955-01-01,,,,,
Trinidad and Tobago,1955-01-01,,,,,
Tunisia,1955-01-01,,,,,
Turkey,1955-01-01,,,,,
Turkmenistan,1955-01-01,,,,,
Turks and Caicos Islands,1955-01-01,,,,,
United Arab Emirates,1955-01-01,,,,,
Uzbekistan,1955-01-01,,,,,
Vanuatu,1955-01-01,,,,,
Venezuela,1955-01-01,,,,,
Vietnam,1955-01-01,,,,,
Wallis and Futuna,1955-01-01,,,,,
Albania,1956-01-01,,,,,
Anguilla,1956-01-01,,,,,
Armenia,1956-01-01,,,,,
Azerbaijan,1956-01-01,,,,,
Bahamas,1956-01-01,,,,,
Bahrain,1956-01-01,,,,,
Belize,1956-01-01,,,,,
Bosnia and Herzegovina,1956-01-01,,,,,
Brazil,1956-01-01,,,,,
British Virgin Islands,1956-01-01,,,,,
Brunei,1956-01-01,,,,,
Cape Verde,1956-01-01,,,,,
Cayman Islands,1956-01-01,,,,,
Chile,1956-01-01,,,,,
China,1956-01-01,,,,,
Colombia,1956-01-01,,,,,
Cook Islands,1956-01-01,,,,,
Dominica,1956-01-01,,,,,
Dominican Republic,1956-01-01,,,,,
Ecuador,1956-01-01,,,,,
Falkland Islands,1956-01-01,,,,,
Fiji,1956-01-01,,,,,
French Guiana,1956-01-01,,,,,
French Polynesia,1956-01-01,,,,,
Georgia,1956-01-01,,,,,
Greenland,1956-01-01,,,,,
Grenada,1956-01-01,,,,,
Guadeloupe,1956-01-01,,,,,
Guam,1956-01-01,,,,,
Guyana,1956-01-01,,,,,
Jamaica,1956-01-01,,,,,
Jordan,1956-01-01,,,,,
Kazakhstan,1956-01-01,,,,,
Kosovo,1956-01-01,,,,,
Kuwait,1956-01-01,,,,,
Kyrgyzstan,1956-01-01,,,,,
Lebanon,1956-01-01,,,,,
Malaysia,1956-01-01,,,,,
Mauritius,1956-01-01,,,,,
Mayotte,1956-01-01,,,,,
Mexico,1956-01-01,,,,,
Micronesia (country),1956-01-01,,,,,
Moldova,1956-01-01,,,,,
Montserrat,1956-01-01,,,,,
New Caledonia,1956-01-01,,,,,
Niue,1956-01-01,,,,,
North Korea,1956-01-01,,,,,
North Macedonia,1956-01-01,,,,,
Palestine,1956-01-01,,,,,
Panama,1956-01-01,,,,,
Paraguay,1956-01-01,,,,,
Peru,1956-01-01,,,,,
Philippines,1956-01-01,,,,,
Qatar,1956-01-01,,,,,
Reunion,1956-01-01,,,,,
Russia,1956-01-01,,,,,
Saint Kitts and Nevis,1956-01-01,,,,,
Saint Lucia,1956-01-01,,,,,
Saint Vincent and the Grenadines,1956-01-01,,,,,
Samoa,1956-01-01,,,,,
Saudi Arabia,1956-01-01,,,,,
Seychelles,1956-01-01,,,,,
South Korea,1956-01-01,,,,,
Sri Lanka,1956-01-01,,,,,
Suriname,1956-01-01,,,,,
Syria,1956-01-01,,,,,
Thailand,1956-01-01,,,,,
Tokelau,1956-01-01,,,,,
Tonga,1956-01-01,,,,,
Trinidad and Tobago,1956-01-01,,,,,
Tunisia,1956-01-01,,,,,
Turkey,1956-01-01,,,,,
Turkmenistan,1956-01-01,,,,,
Turks and Caicos Islands,1956-01-01,,,,,
United Arab Emirates,1956-01-01,,,,,
Uzbekistan,1956-01-01,,,,,
Vanuatu,1956-01-01,,,,,
Venezuela,1956-01-01,,,,,
Vietnam,1956-01-01,,,,,
Wallis and Futuna,1956-01-01,,,,,
Albania,1957-01-01,,,,,
Anguilla,1957-01-01,,,,,
Armenia,1957-01-01,,,,,
Azerbaijan,1957-01-01,,,,,
Bahamas,1957-01-01,,,,,
Bahrain,1957-01-01,,,,,
Belize,1957-01-01,,,,,
Bosnia and Herzegovina,1957-01-01,,,,,
Brazil,1957-01-01,,,,,
British Virgin Islands,1957-01-01,,,,,
Brunei,1957-01-01,,,,,
Cape Verde,1957-01-01,,,,,
Cayman Islands,1957-01-01,,,,,
Chile,1957-01-01,,,,,
China,1957-01-01,,,,,
Colombia,1957-01-01,,,,,
Cook Islands,1957-01-01,,,,,
Dominica,1957-01-01,,,,,
Dominican Republic,1957-01-01,,,,,
Ecuador,1957-01-01,,,,,
Falkland Islands,1957-01-01,,,,,
Fiji,1957-01-01,,,,,
French Guiana,1957-01-01,,,,,
French Polynesia,1957-01-01,,,,,
Georgia,1957-01-01,,,,,
Greenland,1957-01-01,,,,,
Grenada,1957-01-01,,,,,
Guadeloupe,1957-01-01,,,,,
Guam,1957-01-01,,,,,
Guyana,1957-01-01,,,,,
Jamaica,1957-01-01,,,,,
Jordan,1957-01-01,,,,,
Kazakhstan,1957-01-01,,,,,
Kosovo,1957-01-01,,,,,
Kuwait,1957-01-01,,,,,
Kyrgyzstan,1957-01-01,,,,,
Lebanon,1957-01-01,,,,,
Malaysia,1957-01-01,,,,,
Mauritius,1957-01-01,,,,,
Mayotte,1957-01-01,,,,,
Mexico,1957-01-01,,,,,
Micronesia (country),1957-01-01,,,,,
Moldova,1957-01-01,,,,,
Montserrat,1957-01-01,,,,,
New Caledonia,1957-01-01,,,,,
Niue,1957-01-01,,,,,
North Korea,1957-01-01,,,,,
North Macedonia,1957-01-01,,,,,
Palestine,1957-01-01,,,,,
Panama,1957-01-01,,,,,
Paraguay,1957-01-01,,,,,
Peru,1957-01-01,,,,,
Philippines,1957-01-01,,,,,
Qatar,1957-01-01,,,,,
Reunion,1957-01-01,,,,,
Russia,1957-01-01,,,,,
Saint Kitts and Nevis,1957-01-01,,,,,
Saint Lucia,1957-01-01,,,,,
Saint Vincent and the Grenadines,1957-01-01,,,,,
Samoa,1957-01-01,,,,,
Saudi Arabia,1957-01-01,,,,,
Seychelles,1957-01-01,,,,,
South Korea,1957-01-01,,,,,
Sri Lanka,1957-01-01,,,,,
Suriname,1957-01-01,,,,,
Syria,1957-01-01,,,,,
Thailand,1957-01-01,,,,,
Tokelau,1957-01-01,,,,,
Tonga,1957-01-01,,,,,
Trinidad and Tobago,1957-01-01,,,,,
Tunisia,1957-01-01,,,,,
Turkey,1957-01-01,,,,,
Turkmenistan,1957-01-01,,,,,
Turks and Caicos Islands,1957-01-01,,,,,
United Arab Emirates,1957-01-01,,,,,
Uzbekistan,1957-01-01,,,,,
Vanuatu,1957-01-01,,,,,
Venezuela,1957-01-01,,,,,
Vietnam,1957-01-01,,,,,
Wallis and Futuna,1957-01-01,,,,,
Albania,1958-01-01,,,,,
Anguilla,1958-01-01,,,,,
Armenia,1958-01-01,,,,,
Azerbaijan,1958-01-01,,,,,
Bahamas,1958-01-01,,,,,
Bahrain,1958-01-01,,,,,
Belize,1958-01-01,,,,,
Bosnia and Herzegovina,1958-01-01,,,,,
Brazil,1958-01-01,,,,,
British Virgin Islands,1958-01-01,,,,,
Brunei,1958-01-01,,,,,
Cape Verde,1958-01-01,,,,,
Cayman Islands,1958-01-01,,,,,
Chile,1958-01-01,,,,,
China,1958-01-01,,,,,
Colombia,1958-01-01,,,,,
Cook Islands,1958-01-01,,,,,
Dominica,1958-01-01,,,,,
Dominican Republic,1958-01-01,,,,,
Ecuador,1958-01-01,,,,,
Falkland Islands,1958-01-01,,,,,
Fiji,1958-01-01,,,,,
French Guiana,1958-01-01,,,,,
French Polynesia,1958-01-01,,,,,
Georgia,1958-01-01,,,,,
Greenland,1958-01-01,,,,,
Grenada,1958-01-01,,,,,
Guadeloupe,1958-01-01,,,,,
Guam,1958-01-01,,,,,
Guyana,1958-01-01,,,,,
Jamaica,1958-01-01,,,,,
Jordan,1958-01-01,,,,,
Kazakhstan,1958-01-01,,,,,
Kosovo,1958-01-01,,,,,
Kuwait,1958-01-01,,,,,
Kyrgyzstan,1958-01-01,,,,,
Lebanon,1958-01-01,,,,,
Malaysia,1958-01-01,,,,,
Mauritius,1958-01-01,,,,,
Mayotte,1958-01-01,,,,,
Mexico,1958-01-01,,,,,
Micronesia (country),1958-01-01,,,,,
Moldova,1958-01-01,,,,,
Montserrat,1958-01-01,,,,,
New Caledonia,1958-01-01,,,,,
Niue,1958-01-01,,,,,
North Korea,1958-01-01,,,,,
North Macedonia,1958-01-01,,,,,
Palestine,1958-01-01,,,,,
Panama,1958-01-01,,,,,
Paraguay,1958-01-01,,,,,
Peru,1958-01-01,,,,,
Philippines,1958-01-01,,,,,
Qatar,1958-01-01,,,,,
Reunion,1958-01-01,,,,,
Russia,1958-01-01,,,,,
Saint Kitts and Nevis,1958-01-01,,,,,
Saint Lucia,1958-01-01,,,,,
Saint Vincent and the Grenadines,1958-01-01,,,,,
Samoa,1958-01-01,,,,,
Saudi Arabia,1958-01-01,,,,,
Seychelles,1958-01-01,,,,,
South Korea,1958-01-01,,,,,
Sri Lanka,1958-01-01,,,,,
Suriname,1958-01-01,,,,,
Syria,1958-01-01,,,,,
Thailand,1958-01-01,,,,,
Tokelau,1958-01-01,,,,,
Tonga,1958-01-01,,,,,
Trinidad and Tobago,1958-01-01,,,,,
Tunisia,1958-01-01,,,,,
Turkey,1958-01-01,,,,,
Turkmenistan,1958-01-01,,,,,
Turks and Caicos Islands,1958-01-01,,,,,
United Arab Emirates,1958-01-01,,,,,
Uzbekistan,1958-01-01,,,,,
Vanuatu,1958-01-01,,,,,
Venezuela,1958-01-01,,,,,
Vietnam,1958-01-01,,,,,
Wallis and Futuna,1958-01-01,,,,,
Albania,1959-01-01,,,,,
Anguilla,1959-01-01,,,,,
Armenia,1959-01-01,,,,,
Azerbaijan,1959-01-01,,,,,
Bahamas,1959-01-01,,,,,
Bahrain,1959-01-01,,,,,
Belize,1959-01-01,,,,,
Bosnia and Herzegovina,1959-01-01,,,,,
Brazil,1959-01-01,,,,,
British Virgin Islands,1959-01-01,,,,,
Brunei,1959-01-01,,,,,
Cape Verde,1959-01-01,,,,,
Cayman Islands,1959-01-01,,,,,
Chile,1959-01-01,,,,,
China,1959-01-01,,,,,
Colombia,1959-01-01,,,,,
Cook Islands,1959-01-01,,,,,
Dominica,1959-01-01,,,,,
Dominican Republic,1959-01-01,,,,,
Ecuador,1959-01-01,,,,,
Falkland Islands,1959-01-01,,,,,
Fiji,1959-01-01,,,,,
French Guiana,1959-01-01,,,,,
French Polynesia,1959-01-01,,,,,
Georgia,1959-01-01,,,,,
Greenland,1959-01-01,,,,,
Grenada,1959-01-01,,,,,
Guadeloupe,1959-01-01,,,,,
Guam,1959-01-01,,,,,
Guyana,1959-01-01,,,,,
Jamaica,1959-01-01,,,,,
Jordan,1959-01-01,,,,,
Kazakhstan,1959-01-01,,,,,
Kosovo,1959-01-01,,,,,
Kuwait,1959-01-01,,,,,
Kyrgyzstan,1959-01-01,,,,,
